BRAND,MODEL,IMAGE_URL,PRICE
Bose,Smart Ultra Soundbar,https://static.swappa.com/images/cache/8a/d9/8ad92035aee6fa1ae9d5ec846f2707fd.png,0
Sonos,Move 2,https://static.swappa.com/images/cache/3a/8e/3a8e9b665dbb3633178fcb3f2850147c.png,0
Yamaha,Soundbar YAS-207,https://static.swappa.com/images/cache/f7/60/f7606716d39eed2485b344a5191e9489.png,0
JBL,Authentics 500,https://static.swappa.com/images/cache/d4/d7/d4d7fc2fb68ab55ed749f14104c7256c.png,0
Bose,Smart Soundbar,https://static.swappa.com/images/cache/6c/7b/6c7bf4312c544da6a74a08ba26fe0fb0.png,0
JBL,Charge 6,https://static.swappa.com/images/cache/e8/12/e8125afed091fd19efcfc8075c64005a.webp,0
Bose,Soundlink Bluetooth Speaker II,https://static.swappa.com/images/cache/53/63/5363b3390e93a4c8bf8d76743a2f8199.png,0
JBL,Partybox 710,https://static.swappa.com/images/cache/85/91/8591c699b7156acf07684988ababcd27.png,0
Polk,Soundbar,/images/speakers/generic-soundbar.png,0
Bose,Soundlink Max,https://static.swappa.com/images/cache/a4/13/a413a408a730225a2fb278c009ca1810.png,0
Bose,SoundLink Flex 1st Gen,https://static.swappa.com/images/cache/20/c5/20c57b34b4298943aa8ab0b640b616bd.png,0
Bose,SoundLink Color III,https://static.swappa.com/images/cache/27/d1/27d1467ad939696c5c07899821593037.png,0
Bose,Smart Soundbar 900,https://static.swappa.com/images/cache/8a/d9/8ad92035aee6fa1ae9d5ec846f2707fd.png,0
Bose,Smart Soundbar 600,https://static.swappa.com/images/cache/6c/7b/6c7bf4312c544da6a74a08ba26fe0fb0.png,0
Bang & Olufsen,Beoplay M3,https://static.swappa.com/images/cache/c3/b0/c3b056c74ab12630d1d293a53063bb00.png,0
Bang & Olufsen,Beosound 2 3rd-Gen Speaker,https://static.swappa.com/images/cache/f3/70/f3704e35dc7ee276cc5ee5922f4d3d67.png,0
Bang & Olufsen,Beosound A1 3rd Gen,https://static.swappa.com/images/cache/f3/70/f3704e35dc7ee276cc5ee5922f4d3d67.png,0
Bang & Olufsen,Beosound Explore,https://static.swappa.com/images/cache/f3/70/f3704e35dc7ee276cc5ee5922f4d3d67.png,0
