BRAND,MODEL,PRICE,IMAGE_URL
Google,Pixel 7,129,https://static.swappa.com/images/cache/4c/90/4c906122e49a63dbdd5dbce1e5a5463e.png
Google,Pixel 9 Pro,398,https://static.swappa.com/images/cache/ba/3b/ba3bb41dc32623150998720558c8ad92.png
Samsung,Galaxy Z Flip7,515,https://static.swappa.com/images/cache/e5/c3/e5c3aa68f06fb3ff8b0e2b96b67aa94f.png
Samsung,Galaxy Z Fold3 5G,294,https://static.swappa.com/images/cache/f4/a5/f4a58552a8c98b5229fee4f045fb430d.png
Google,Pixel 9a,304,https://static.swappa.com/images/cache/e1/e4/e1e49886304c07b9686e7ba0770fbbbb.png
Samsung,Galaxy S24 Plus,374,https://static.swappa.com/images/cache/55/f3/55f3c24741bc8de22c48c914d0ba1c6a.png
Samsung,Galaxy S21 Plus 5G,128,https://static.swappa.com/images/cache/f1/d1/f1d16a786866e422cb3a625fd1579463.png
Google,Pixel 7 Pro,189,https://static.swappa.com/images/cache/0c/29/0c29b86b6e5dacf4ba9159aa26c56968.png
Samsung,Galaxy Z Fold7,875,https://static.swappa.com/images/cache/0a/b9/0ab9e3a584a954cdb05d102775a76d50.png
Samsung,Galaxy S23 Plus,266,https://static.swappa.com/images/cache/1c/8b/1c8bd1802d684f41b1b97fadb50eaa1c.png
Google,Pixel 8a,175,https://static.swappa.com/images/cache/5d/52/5d5217fa2b84d0eb247b472308482871.png
Google,Pixel 9,334,https://static.swappa.com/images/cache/90/39/903925a6b5a951763ecf52dc997d76bb.png
Samsung,Galaxy S21 FE 5G,94,https://static.swappa.com/images/cache/39/f9/39f90aea59e7e3d91db742664fd822e8.png
Samsung,Galaxy S25 Plus,463,https://static.swappa.com/images/cache/b2/4c/b24cb4ac1c6b5663f8b7ceba2c0a282d.png
Google,Pixel 6,109,https://static.swappa.com/images/cache/e5/23/e523f91469dd371849af1b12435c5fde.png
Google,Pixel 9 Pro XL,401,https://static.swappa.com/images/cache/d4/fa/d4fa6c1dc86fe055a18491f96cc339d3.png
Samsung,Galaxy S20 FE 5G,98,https://static.swappa.com/images/cache/81/0c/810ccf9c2a3e60fc4ce7ad0185e93129.png
Google,Pixel 6 Pro,143,https://static.swappa.com/images/cache/ae/47/ae47095a310c91d362eb17b4768ce957.png
Samsung,Galaxy Z Flip4 5G,138,https://static.swappa.com/images/cache/ac/21/ac21239665357a936fe23acadb3c10cf.png
Samsung,Galaxy S25 Edge,484,https://static.swappa.com/images/cache/46/a3/46a3eeac8703de05dc1f2b0819d24c96.png
Samsung,Galaxy S21 Ultra 5G,154,https://static.swappa.com/images/cache/27/0d/270df34c08f6e7e615b83430fe6593d3.png
Samsung,Galaxy S10e,103,https://static.swappa.com/images/cache/ab/ca/abcaf3dc37c6981bdfa959a6067bf99e.png
Samsung,Galaxy Note 20 Ultra 5G,246,https://static.swappa.com/images/cache/dd/5d/dd5dc02d7ff3e447013120fef3af9af6.png
Google,Pixel 7a,124,https://static.swappa.com/images/cache/ca/6b/ca6b3a2ecad683e4922d2e85fc45cea8.png
Google,Pixel 10,442,https://static.swappa.com/images/cache/90/cf/90cf87dd6016ddc3183bd42ac201aeca.png
Samsung,Galaxy A36 5G,149,https://static.swappa.com/images/cache/70/f9/70f92798e49a08b62c43abc0005f413b.png
Samsung,Galaxy S24 FE,174,https://static.swappa.com/images/cache/98/ba/98bad181542ee1080cab4a1d75a3fabd.png
Samsung,Galaxy S20 Plus 5G,128,https://static.swappa.com/images/cache/c4/d6/c4d6cd9f1dc2ebdf58a82d83eca82ebc.png
Samsung,Galaxy S10 Plus,139,https://static.swappa.com/images/cache/f8/07/f807c38bb9427742e938a92e688fce85.png
Samsung,Galaxy A54 5G,94,https://static.swappa.com/images/cache/50/63/5063299ecf6833152081a806acef0e6c.png
Google,Pixel 10 Pro Fold,927,https://static.swappa.com/images/cache/bd/2a/bd2ae93c22eeb879ecfa5d459698ac06.png
Google,Pixel 10 Pro,548,https://static.swappa.com/images/cache/63/18/6318b2c892534828f2ffd08ce1906d43.png
Apple,iPhone 17,709,https://static.swappa.com/images/cache/82/52/82522a77783e9af1a74dadf80a2cde52.png
Samsung,Galaxy A35 5G,123,https://static.swappa.com/images/cache/1f/b6/1fb67737f6571446dafdd97bcd531a88.png
Samsung,Galaxy Note 10,119,https://static.swappa.com/images/cache/d6/a9/d6a92ecd00f0e6f25978384042abf3da.png
Samsung,Galaxy S9 Plus,88,https://static.swappa.com/images/cache/56/e5/56e5e7d3eb5c1673f7894ca273efab75.png
Google,Pixel Fold,390,https://static.swappa.com/images/cache/a0/78/a0782369581a718d12ede3402a231b76.png
Google,Pixel 9 Pro Fold,561,https://static.swappa.com/images/cache/91/f5/91f5cda2277d6306520f47bfff15d47b.png
Samsung,Galaxy S25 FE,298,https://static.swappa.com/images/cache/f0/db/f0db43904e5c02685669091fd5109f72.png
Motorola,Edge Plus (2022),105,https://static.swappa.com/images/cache/31/02/3102bca09111554cfd236073e18c95ae.png
Samsung,Galaxy A6,102,https://static.swappa.com/images/cache/cb/85/cb855fd3d646d8e7cae0e2229f119c7e.png
